gender,test_preparation,study_hours,sleep_hours,math_score,reading_score,writing_score,avg_score,pass_fail
male,completed,2.042827508440317,9.251139685951467,53.981126348029264,68.047752140466,72.20954606735205,64.74614151861577,1
female,completed,7.287508086413858,8.275332613170239,52.84621344478428,63.69735029208024,94.379307262927,70.30762366659717,1
male,none,5.676992814988829,6.477021798388211,68.00853795846415,70.00739142399236,73.58158208910294,70.53250382385315,1
male,completed,4.169424172198397,6.476113443522356,82.22956024143073,78.4168944850076,73.83738793501894,78.16128088715242,1
male,completed,6.26556373221257,6.5175474231739265,49.762672715324044,49.78603257413042,67.20319020473681,55.58396516473042,1
female,none,9.541385715608792,10.0,65.92519774771958,37.853466656078666,86.35353323627942,63.37739921335922,1
male,none,5.36373251011699,7.57290317834733,71.4322475049586,62.29248410711783,84.44703850716326,72.7239233730799,1
male,none,5.496441172600672,7.645062470786605,75.39658410894717,52.910026037201774,58.614840687556814,62.30715027790192,1
male,none,4.081278200919511,8.545425181047763,67.64662332915837,62.886037232937646,48.211292081018485,59.581317547704835,1
female,completed,3.3003112610704166,7.35818373853977,59.494582413750166,67.9310755365554,64.95529043906514,64.1269827964569,1
male,none,6.660671633088491,6.611436781268945,52.5861466902692,63.65452227367781,55.99942153403531,57.41336349932744,1
male,none,3.2878323481822656,6.705475226372533,66.29215824569562,90.33454548259044,67.04713138076967,74.55794503635191,1
male,completed,5.143132474438785,6.892598110878904,48.9179148202159,74.57442670443248,86.56157202026209,70.01797118163682,1
male,none,4.044685106469767,6.944166645235238,21.17974274758089,74.2066410345516,61.14047517369815,52.17561965194354,1
female,none,5.957959651492784,8.091444315455469,71.54839706236501,78.71090001660762,67.35764928032637,72.53898211976633,1
male,none,5.667324210573897,7.077918828710949,78.55902261629294,54.056336351069234,68.87034102212593,67.16189999649603,1
female,none,7.075079888515798,8.098960115823369,29.55601346687242,84.54756502388376,80.72646323307927,64.94334724127849,1
female,none,3.979967202290506,6.878925129837127,49.854039429350934,68.93929998850356,34.29665999023092,51.02999980269514,1
female,completed,4.460250129413257,7.117952785474136,74.28731391507796,79.38672864137698,58.89949557852055,70.85784604499183,1
male,completed,3.042472568435385,4.002698973201839,95.86243204567548,54.99399873743782,71.16925538419208,74.00856205576845,1
female,none,4.111413479847776,8.374491512053723,65.31190561513112,48.2473772757751,86.00118434640292,66.52015574576971,1
male,none,5.754600986089704,7.519732713846989,54.07995588156298,81.4504552123504,60.621463287406925,65.38395812710677,1
female,none,6.513977233290704,8.497015164789477,62.256553383427395,75.26973336536523,39.85170940937189,59.12599871938817,1
female,none,3.1556693516447494,4.0,85.62314628722277,57.371278238994854,77.29567168949204,73.43003207190321,1
female,none,6.73921184021132,10.0,55.310537313131974,57.824716862154276,58.46956416761556,57.2016061143006,1
female,none,7.711275717609902,6.790615557767239,53.0121199002462,85.75608698180677,50.155000113644576,62.97440233189918,1
